id,instant_kl,accum_kl,train_loss,kl_loss,grad_norm,truncated,resp_len
277,0.098121,0.098117,0.098117,0.060735,0.070817,0.917969,3980.285156
278,0.092773,0.092713,0.092713,0.056519,0.066182,0.894531,3992.500000
279,0.096570,0.096537,0.096537,0.060089,0.068754,0.882812,3952.761719
280,0.099481,0.099417,0.099417,0.059407,0.066344,0.945312,4049.964844
281,0.099376,0.099340,0.099340,0.058118,0.070633,0.906250,3997.027344
282,0.093172,0.093128,0.093128,0.058172,0.065208,0.945312,4043.789062
283,0.101661,0.101595,0.101595,0.061011,0.070223,0.937500,4064.367188
284,0.096245,0.096149,0.096149,0.059509,0.062511,0.871094,3976.761719
285,0.108480,0.108446,0.108446,0.064209,0.069647,0.957031,4071.078125
286,0.095262,0.095181,0.095181,0.059821,0.061275,0.882812,3970.921875
287,0.104291,0.104242,0.104242,0.061419,0.070720,0.953125,4045.652344
288,0.102763,0.102756,0.102756,0.060954,0.067809,0.929688,4048.917969
289,0.097250,0.097227,0.097227,0.060053,0.073162,0.933594,4051.691406
290,0.101529,0.101460,0.101460,0.058565,0.069951,0.945312,4040.285156
291,0.099628,0.099596,0.099596,0.060559,0.068771,0.929688,4044.476562
292,0.101401,0.101397,0.101397,0.060423,0.082496,0.921875,3999.089844
293,0.107759,0.107742,0.107741,0.063244,0.071975,0.929688,4061.492188
294,0.093414,0.093374,0.093374,0.056227,0.065285,0.937500,4024.054688
295,0.100064,0.100021,0.100021,0.059098,0.067575,0.894531,4006.789062
296,0.100261,0.100271,0.100271,0.061033,0.069212,0.878906,3950.199219
297,0.101167,0.101177,0.101177,0.062778,0.067724,0.910156,4032.140625
298,0.096082,0.096043,0.096043,0.058725,0.068459,0.890625,3986.351562
299,0.094494,0.094501,0.094501,0.060970,0.065429,0.921875,4011.929688
